date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:04	15505/15505	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5c-3c91%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jarallax/jarallax.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jarallax/jarallax.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:05	2381/2381	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5c-94d%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-ajaxchimp/jquery.ajaxchimp.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-ajaxchimp/jquery.ajaxchimp.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:05	1266/1266	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5c-4f2%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-appear/jquery.appear.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-appear/jquery.appear.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:06	136822/136822	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221676-5d54c01ae8a80%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.eot	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.eot	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:06	4454/4454	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5e-1166%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-circle-progress/jquery.circle-progress.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-circle-progress/jquery.circle-progress.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:07	136822/136822	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221676-5d54c01ae8a80%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.eot?	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:07	20219/20219	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5e-4efb%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:07	21093/21093	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d62-5265%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-validate/jquery.validate.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-validate/jquery.validate.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:07	78460/78460	---M--	200	added ('OK')	font/woff2	etag:%2261dd5d5a-1327c%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.woff2	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.woff2	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:08	31780/31780	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d68-7c24%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/tiny-slider/tiny-slider.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/tiny-slider/tiny-slider.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:08	23883/23883	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d62-5d4b%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/nouislider/nouislider.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/nouislider/nouislider.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:08	9897/9897	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d64-26a9%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/odometer/odometer.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/odometer/odometer.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:08	140942/140942	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d66-2268e%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/swiper/swiper.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/swiper/swiper.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:09	92136/92136	---M--	200	added ('OK')	font/woff	etag:%2261dd5d5a-167e8%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.woff	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.woff	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:10	2235/2235	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d6a-8bb%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/wnumb/wNumb.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/wnumb/wNumb.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
